Alignment ID	RT	m.z	2022_12_30_neg_BK_Sfery_23_08_22_B_1_230106030156	2022_12_30_neg_BK_Sfery_23_08_22_B_10_230106082540	2022_12_30_neg_BK_Sfery_23_08_22_B_11_230106090129	2022_12_30_neg_BK_Sfery_23_08_22_B_12_230106093733	2022_12_30_neg_BK_Sfery_23_08_22_B_13_230106101334	2022_12_30_neg_BK_Sfery_23_08_22_B_14_230106104923	2022_12_30_neg_BK_Sfery_23_08_22_B_15_230106112527	2022_12_30_neg_BK_Sfery_23_08_22_B_16_230106120127	2022_12_30_neg_BK_Sfery_23_08_22_B_17_230106123717	2022_12_30_neg_BK_Sfery_23_08_22_B_18_230106131319	2022_12_30_neg_BK_Sfery_23_08_22_B_19_230106134912	2022_12_30_neg_BK_Sfery_23_08_22_B_2_230106033758	2022_12_30_neg_BK_Sfery_23_08_22_B_20_230106142513	2022_12_30_neg_BK_Sfery_23_08_22_B_21_230106150117	2022_12_30_neg_BK_Sfery_23_08_22_B_22_230106153722	2022_12_30_neg_BK_Sfery_23_08_22_B_23_230106161325	2022_12_30_neg_BK_Sfery_23_08_22_B_24_230106164931	2022_12_30_neg_BK_Sfery_23_08_22_B_3_230106041349	2022_12_30_neg_BK_Sfery_23_08_22_B_4_230106044950	2022_12_30_neg_BK_Sfery_23_08_22_B_5_230106052539	2022_12_30_neg_BK_Sfery_23_08_22_B_6_230106060143	2022_12_30_neg_BK_Sfery_23_08_22_B_7_230106063744	2022_12_30_neg_BK_Sfery_23_08_22_B_8_230106071333	2022_12_30_neg_BK_Sfery_23_08_22_B_9_230106074937	2022_12_30_neg_BK_Sfery_23_08_22_S_1_230105123700	2022_12_30_neg_BK_Sfery_23_08_22_S_10_230105180128	2022_12_30_neg_BK_Sfery_23_08_22_S_11_230105183731	2022_12_30_neg_BK_Sfery_23_08_22_S_12_230105191335	2022_12_30_neg_BK_Sfery_23_08_22_S_13_230105194938	2022_12_30_neg_BK_Sfery_23_08_22_S_14_230105202542	2022_12_30_neg_BK_Sfery_23_08_22_S_15_230105210147	2022_12_30_neg_BK_Sfery_23_08_22_S_16_230105213750	2022_12_30_neg_BK_Sfery_23_08_22_S_17_230105221352	2022_12_30_neg_BK_Sfery_23_08_22_S_18_230105224951	2022_12_30_neg_BK_Sfery_23_08_22_S_19_230105232554	2022_12_30_neg_BK_Sfery_23_08_22_S_2_230105131319	2022_12_30_neg_BK_Sfery_23_08_22_S_20_230106000158	2022_12_30_neg_BK_Sfery_23_08_22_S_21_230106003759	2022_12_30_neg_BK_Sfery_23_08_22_S_22_230106011404	2022_12_30_neg_BK_Sfery_23_08_22_S_23_230106015006	2022_12_30_neg_BK_Sfery_23_08_22_S_24_230106022607	2022_12_30_neg_BK_Sfery_23_08_22_S_3_230105134921	2022_12_30_neg_BK_Sfery_23_08_22_S_4_230105142510	2022_12_30_neg_BK_Sfery_23_08_22_S_5_230105150113	2022_12_30_neg_BK_Sfery_23_08_22_S_6_230105153717	2022_12_30_neg_BK_Sfery_23_08_22_S_7_230105161318	2022_12_30_neg_BK_Sfery_23_08_22_S_8_230105164921	2022_12_30_neg_BK_Sfery_23_08_22_S_9_230105172525
3564	13.539	561.23242	122121	57135	60755	88204	33098	101175	60660	110932	45468	61992	78974	90577	71157	62153	64855	66209	69853	149954	52037	104739	89703	88541	69613	64544	0	0	0	0	0	0	0	0	113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3565	11.829	561.25378	112301	64506	57574	31919	30385	43413	52968	73827	27591	45893	53278	45608	53899	43874	32093	65255	100901	38529	65799	68600	62314	48532	101422	31264	1304	1160	0	0	552	0	0	0	335	0	227	211	0	0	0	430	331	0	0	0	566	0	0	0
3566	12.307	561.25385	60261	43171	31279	22623	22712	27571	54826	47735	21158	64438	21543	33467	44582	36866	31690	38939	116852	40970	44656	35846	34437	43129	74584	27797	0	0	0	203	0	711	0	0	0	0	0	1405	0	0	0	0	0	0	0	0	0	540	878	0
3567	12.687	561.25391	3114	3607	3355	2841	3598	2418	10837	7599	4278	8985	3663	7934	10127	7092	6096	6439	9007	4033	4704	7623	7733	3899	14180	5682	3452	4423	7527	10505	8336	6751	7062	12127	6958	8508	12567	11967	6012	5692	8855	8152	9712	18920	4804	12461	9161	64700	23712	9824
3568	11.576	561.25427	93021	125920	30667	19190	26030	25337	56717	106493	62357	56733	9145	30823	47139	44321	52626	101841	53550	73205	70833	67809	67647	53684	57860	38567	0	0	0	0	0	0	0	0	0	0	0	0	0	212	0	1004	699	0	0	574	0	3343	390	0
3569	14.451	561.32733	3605	7379	7752	4331	4526	550	692	1006	1076	3726	5649	4283	2387	4631	3302	1861	4477	4454	5500	4142	5347	3612	3888	6142	8900	17820	16294	12899	11747	14258	19329	10281	13321	14293	11877	21334	7220	11524	9281	15307	14170	8761	20205	18485	17006	14255	19699	12074
3570	16.91	561.34241	20353	67301	27189	29040	44336	71382	26850	30920	23048	33067	57459	41161	65258	43464	38934	52195	91381	41595	33901	38804	130510	40539	45902	76656	0	218	0	0	598	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	260	0	104	0
3571	18.5	561.34302	31563	37100	16812	35050	24191	83609	22672	18668	11423	19026	36699	28407	41718	43447	38588	32098	60174	44712	53917	55785	300915	27770	62955	115069	0	468	474	0	1004	360	0	251	429	509	535	507	0	114	647	546	0	0	0	0	592	0	0	0
3572	14.582	563.09808	8769	8992	1889	13094	14367	16782	18072	6186	5803	6538	13176	14129	15459	11343	5718	8933	10523	12468	14285	7373	15693	11352	20626	10581	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3573	15.113	563.09833	102	0	0	0	0	0	0	123	0	1105	0	0	0	482	0	0	0	645	0	0	0	0	0	591	11488	11027	5239	7647	8386	6282	14084	17419	6274	8316	1612	9083	975	7791	13140	5952	5090	9026	11868	20793	5634	14585	23540	13922
3574	12.588	563.10278	13392	0	12241	5118	13636	21043	6972	14544	2538	0	0	10955	5777	11476	10385	6883	9117	14535	8237	2494	7134	9655	3290	1005	2029	3346	2238	9542	0	402	29798	2828	24372	566	12910	8097	4198	0	31462	0	29909	85763	8373	0	117	141059	2997	5344
3575	15.113	563.1181	155392	49904	34277	212343	67953	317753	73239	189580	165314	80324	78490	109218	259466	214334	174656	207734	184053	200516	123539	124938	140939	233260	156892	157845	2995559	2648270	1371568	2010655	2569352	1819556	2823586	3374351	1386508	1954935	1005885	1933093	976146	2308957	2652762	1028110	1238737	2104645	1796813	3166101	1596268	3195917	5305545	2665160
3576	14.578	563.1181	1934872	2323922	816739	2759285	3028016	4258899	3265258	2061980	2015706	1859597	3761158	2462590	4200268	2854616	1975537	2808877	2214719	2599980	2745853	1620210	2867716	3100478	4219287	1899471	19335	8602	7552	10653	11359	6473	13592	18194	7960	11768	9158	25511	7193	13551	32951	9162	7360	10714	12421	12963	17635	14284	21738	20629
3577	1.823	563.12439	22470	25188	16821	13110	27619	29677	25906	13441	17745	24426	26290	23417	17187	16129	10526	30687	14117	22157	30320	18462	27166	22652	34457	20819	790	0	0	368	0	845	1202	0	0	0	0	0	0	0	1115	0	422	0	806	0	0	768	0	0
