Alignment ID	RT	m.z	2022_12_30_pos_BK_Sfery_23_08_22_B_1_230102194605	2022_12_30_pos_BK_Sfery_23_08_22_B_10_230103011005	2022_12_30_pos_BK_Sfery_23_08_22_B_11_230103014609	2022_12_30_pos_BK_Sfery_23_08_22_B_12_230103022200	2022_12_30_pos_BK_Sfery_23_08_22_B_13_230103025801	2022_12_30_pos_BK_Sfery_23_08_22_B_14_230103033403	2022_12_30_pos_BK_Sfery_23_08_22_B_15_230103040949	2022_12_30_pos_BK_Sfery_23_08_22_B_16_230103044539	2022_12_30_pos_BK_Sfery_23_08_22_B_17_230103104719	2022_12_30_pos_BK_Sfery_23_08_22_B_18_230103112325	2022_12_30_pos_BK_Sfery_23_08_22_B_19_230103115923	2022_12_30_pos_BK_Sfery_23_08_22_B_2_230102202209	2022_12_30_pos_BK_Sfery_23_08_22_B_20_230103123513	2022_12_30_pos_BK_Sfery_23_08_22_B_21_230103131115	2022_12_30_pos_BK_Sfery_23_08_22_B_22_230103134708	2022_12_30_pos_BK_Sfery_23_08_22_B_23_230103142309	2022_12_30_pos_BK_Sfery_23_08_22_B_24_230103145912	2022_12_30_pos_BK_Sfery_23_08_22_B_3_230102205812	2022_12_30_pos_BK_Sfery_23_08_22_B_4_230102213401	2022_12_30_pos_BK_Sfery_23_08_22_B_5_230102221005	2022_12_30_pos_BK_Sfery_23_08_22_B_6_230102224606	2022_12_30_pos_BK_Sfery_23_08_22_B_7_230102232155	2022_12_30_pos_BK_Sfery_23_08_22_B_8_230102235759	2022_12_30_pos_BK_Sfery_23_08_22_B_9_230103003402	2022_12_30_pos_BK_Sfery_23_08_22_S_1_230102052256	2022_12_30_pos_BK_Sfery_23_08_22_S_10_230102104704	2022_12_30_pos_BK_Sfery_23_08_22_S_11_230102112253	2022_12_30_pos_BK_Sfery_23_08_22_S_12_230102115852	2022_12_30_pos_BK_Sfery_23_08_22_S_13_230102123442	2022_12_30_pos_BK_Sfery_23_08_22_S_14_230102131027	2022_12_30_pos_BK_Sfery_23_08_22_S_15_230102134615	2022_12_30_pos_BK_Sfery_23_08_22_S_16_230102142204	2022_12_30_pos_BK_Sfery_23_08_22_S_17_230102145755	2022_12_30_pos_BK_Sfery_23_08_22_S_18_230102153356	2022_12_30_pos_BK_Sfery_23_08_22_S_19_230102160945	2022_12_30_pos_BK_Sfery_23_08_22_S_2_230102055859	2022_12_30_pos_BK_Sfery_23_08_22_S_20_230102164549	2022_12_30_pos_BK_Sfery_23_08_22_S_21_230102172152	2022_12_30_pos_BK_Sfery_23_08_22_S_22_230102175755	2022_12_30_pos_BK_Sfery_23_08_22_S_23_230102183359	2022_12_30_pos_BK_Sfery_23_08_22_S_24_230102191002	2022_12_30_pos_BK_Sfery_23_08_22_S_3_230102063503	2022_12_30_pos_BK_Sfery_23_08_22_S_4_230102071102	2022_12_30_pos_BK_Sfery_23_08_22_S_5_230102074705	2022_12_30_pos_BK_Sfery_23_08_22_S_6_230102082309	2022_12_30_pos_BK_Sfery_23_08_22_S_7_230102085912	2022_12_30_pos_BK_Sfery_23_08_22_S_8_230102093513	2022_12_30_pos_BK_Sfery_23_08_22_S_9_230102101113
299	12.193	181.08514	14865	10946	22112	11396	11452	7182	12852	12094	9629	10092	9535	8929	12350	9013	11133	10703	13585	12346	12807	17498	9896	12446	11489	13559	2342236	847258	1240564	1628740	1230760	1170911	945485	874828	1042683	1305804	1086297	776923	717653	980390	762401	914362	1450583	1106726	721745	1525656	1584327	1065322	844325	1069740
300	1.709	182.08038	453172	142211	155425	235462	107161	189897	100795	194456	197823	158670	549308	190302	164436	425151	202142	91496	92276	366057	237685	436646	144251	129120	313943	160554	552223	594362	449534	564548	507790	1107111	419815	1606574	731213	467836	846688	312458	3777852	997697	2052081	832372	614393	656340	603769	657005	179959	444926	530697	301727
301	1.744	183.02258	77415	212380	110002	87142	74638	101748	42564	76610	181296	144553	115198	53480	96825	47643	235506	72145	35743	30567	82972	70381	42253	132350	72306	105894	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
302	1.41	183.04947	1643166	1726078	1360439	1737294	1845348	1656088	1370207	1695064	1693082	1842104	1871084	1807670	2076948	1924084	1802878	1768693	1310738	1494760	1708871	1684858	2033484	1304883	1940758	1857564	678188	269803	471953	327880	292661	438197	460510	645731	473367	387593	460148	473320	334435	417986	277635	339848	387962	625470	427840	368924	459243	601436	474676	427246
303	1.369	183.04956	1513740	1245124	1360439	1754909	1845348	1656088	1370207	1695064	1693082	1842104	1871084	1798344	2076948	1924084	1802878	1768693	1310738	1494760	1723272	1684858	2033484	1304883	1472524	1857564	678188	364859	497487	344379	297388	464213	628565	646619	473367	387593	460148	473320	354108	451888	277635	363655	434248	688200	425927	368924	459796	607493	474676	427246
304	2.097	183.06438	8715	8151	3347	6894	9803	9066	5171	8082	7870	5946	7075	6804	9226	10986	4152	8843	8731	8497	7226	6153	9812	7416	6646	6066	346399	255387	238951	526434	149654	106880	125454	102422	194191	184126	194058	143917	153928	194391	75651	132464	63385	349431	184415	156086	91838	90800	134279	118110
305	3.285	183.10075	3086	3192	3487	2803	4337	2083	2491	4522	4796	3399	5276	5288	7281	3464	3602	3772	3666	2415	4979	5583	3534	1871	4003	3941	367026	493810	588438	507888	385151	375945	391437	287082	154852	257713	229382	222824	312847	388842	314866	405477	563542	319965	372350	208837	327703	154031	601029	487482
306	1.262	184.01038	85797	83474	61557	66273	96284	88738	53052	66126	69393	88030	57518	82181	68786	96397	111380	68537	86675	106773	91903	69823	113415	43814	81078	86939	107604	52052	102784	74752	46598	57857	82211	104066	49928	67623	58236	102639	43528	59055	33482	46333	50230	69558	59323	83902	78804	76660	83431	67864
307	1.273	184.0201	129293	218732	86646	99381	171165	91014	156665	102796	185538	108192	169071	210998	152845	133992	121242	161151	98858	140568	112297	186856	136609	64674	126871	169270	189413	122374	118662	115817	82540	86414	96568	98656	87406	76813	112662	168789	55776	53844	35350	59325	89752	98690	150425	176067	94725	106967	126756	144068
308	1.262	184.03378	571773	489404	304710	234493	485135	433336	430041	216220	520246	200804	370079	570958	478993	480537	277712	420570	383904	427741	196685	558096	528331	397027	207760	563411	228975	156755	123914	199772	180836	242345	147792	344001	262522	220754	270365	206470	220906	234725	127360	135805	259786	415196	220708	311673	381494	285021	410591	489521
309	1.29	184.03697	582988	377265	1057859	914163	455520	901662	729372	730806	364626	956362	822977	390808	878476	404763	859338	386830	393124	288324	397103	282761	392719	300529	755351	500457	902682	451550	662427	597195	565203	658813	408317	824954	660426	562146	588954	849211	474848	534765	410237	399566	551323	597628	454113	805873	708355	743109	596434	762226
310	1.893	184.04491	842418	881976	721309	832696	722622	636027	525476	513861	783594	806159	799029	900567	867403	878809	876866	794121	592061	688991	770134	836867	723553	743725	1004096	828858	47606	21432	55521	24173	22046	27418	29406	37486	49757	22352	35127	66450	42972	51590	22943	23261	30389	66766	36159	84181	32204	49205	96988	34926
